Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
970,Amro,Gamifying the MITRE ATT&CK for Cyber Security Training using the COFELET Framework,0,2022, ntnuopen.ntnu.no,,https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/3070229,0
969," Веревкин, ЕВ Федорченко",Сравнительный анализ баз данных MITRE ATT&CK и CAPEC,1,2023, cyberleninka.ru, Известия Тульского …,https://cyberleninka.ru/article/n/sravnitelnyy-analiz-baz-dannyh-mitre-att-ck-i-capec,0
968," Ткачук, О Букартик",РОЛЬ ОПЕРАЦІЙНОЇ СИСИТЕМИ LINUX У КІБЕРБЕЗПЕЦІ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13018/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
967," Фединець, Я Біленко",ІНСТРУМЕНТИ МОНІТОРИНГУ МЕРЕЖЕВИХ З'ЄДНАНЬ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13031/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
966," Навитка, С Навитка",ОСОБЛИВОСТІ КІБЕРБЕЗПЕКИ ДЛЯ СУЧАСНИХ НАУКОВИХ ДОСЛІДЖЕНЬ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13047/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
965," Ткачук, О Боднар",ТАКТИКА МОДЕЛЕЙ CYBER KILL CHAIN І UNIFIED KILL CHAIN: РОЗКРИТТЯ АНАТОМІЇ КІБЕРАТАК,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13017/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
964," Лагун, А Махніцька",ОСОБЛИВОСТІ ЗАХИСТУ КОРИСТУВАЧІВ КОМП'ЮТЕРНИХ МЕРЕЖ ВІД АТАК НА АВТЕНТИФІКАЦІЮ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13052/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
963," Лагун, Д Гриченко","ВИЯВЛЕННЯ, АНАЛІЗ ТА ЗАПОБІГАННЯ КІБЕРЗАГРОЗАМ З ВИКОРИСТАННЯМ SECURITY OPERATIONS CENTER",0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13051/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
962," Ткачук, Р Андріїв, О Беспалько",ДОСЛІДЖЕННЯ МЕТОДІВ ЗАХИСТУ ІНФОРМАЦІЇ ВЕБ-САЙТІВ НА ОСНОВІ МОДЕЛЕЙ РОЗПОДІЛЕННЯ ДОСТУПУ ТА МОНІТОРИНГУ ІДЕНТИФІКАТОРІВ …,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13016/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
961," Федина, Р Пановик",ЗАСОБИ ЗАХИСТУ ІНФОРМАЦІЇ В СИСТЕМАХ ЕЛЕКТРОННОГО ДОКУМЕНТООБІГУ ДЛЯ ЗАКЛАДІВ ВИЩОЇ ОСВІТИ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13042/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
960," Навитка, О Водніцька, А Яхура",ІНТЕЛЕКТУАЛЬНА БЕЗПЕКА В МОДНІЙ ІНДУСТРІЇ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13048/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
959," Фединець, Ю Мищак",СУЧАСНІ ІНСТРУМЕНТИ ЗАХИСТУ МЕРЕЖІ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13034/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
958," Ткачук, А Гетьман",ДОСЛІДЖЕННЯ ШЛЯХІВ ТА ВИРОБЛЕННЯ РЕКОМЕНДАЦІЙ ЩОДО ЗАБЕЗПЕЧЕННЯ ЗАХИСТУ ПЕРСОНАЛЬНИХ ДАНИХ В ІТ СИСТЕМАХ ТА …,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13019/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
957," Фединець, А Гетьман",МЕРЕЖЕВИЙ АУДИТ ЯК ІНСТРУМЕНТ ВИЗНАЧЕННЯ ВРАЗЛИВОСТЕЙ СЕРВЕРІВ ТА РОБОЧИХ СТАНЦІЙ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13032/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
956," Івануса, НМ Колос, Р Малькевич, П Сахан",РОЗРОБКА ЗАСОБУ ЗАХИСТУ ІНФОРМАЦІЇ ЗА ДОПОМОГОЮ ВИКОРИСТАННЯ ПОТОКОВОГО АЛГОРИТМУ ШИФРУВАННЯ RC4,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13038/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
955," Івануса, А Петрович, М Ткач, Є Торкотюк",ПРОЄКТУВАННЯ СИСТЕМИ ЗАХИСТУ ІНФОРМАЦІЇ У ПРОГРАМНИХ ПРОДУКТАХ З ВІДКРИТОЮ АРХІТЕКТУРОЮ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13039/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
954," Навитка, ВІ Ящук, І Гелешко",ДОСЛІДЖЕННЯ ТЕХНОЛОГІЙ ЗАБЕЗПЕЧЕННЯ БЕЗПЕКИ СИСТЕМ ЕЛЕКТРОННОГО ГОЛОСУВАННЯ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13046/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
953," Ткачук, НМ Колос, В Моравський",КРИПТОЛОГІЯ: СУЧАСНІ ТЕНДЕНЦІЇ ТА ПЕРСПЕКТИВИ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13020/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
952," Фединець, ВІ Ящук, Я Логойда",ДОСЛІДЖЕННЯ ВИКОРИСТАННЯ SIEM-СИСТЕМ В МЕНЕДЖМЕНТІ ІНФОРМАЦІЙНОЇ БЕЗПЕКИ,0,2023, sci.ldubgd.edu.ua,,https://sci.ldubgd.edu.ua/bitstream/123456789/13033/1/%D0%9A%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D1%96%D1%8F%20%D0%86%D0%91%D0%86%D0%A2%20%28%D0%B7%D0%B1%D1%96%D1%80%D0%BD%D0%B8%D0%BA%29%20-%202023.pdf,0
