Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
83," Bishop, NM Nasrabadi",Pattern recognition and machine learning,72468,2006, Springer,,https://link.springer.com/book/9780387310732,3814
22," Mitchell, TM Mitchell",Machine learning,38723,1997, pachecoj.com,,http://www.pachecoj.com/courses/csc380_fall21/lectures/mlintro.pdf,1383
32, Murphy,Machine learning: a probabilistic perspective,15988,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=RC43AgAAQBAJ&oi=fnd&pg=PR7&dq=machine+learning&ots=unhucyTwZc&sig=Tir7ot5ZAeQl0BMIFVDzxvkrz-o,1230
24,Alpaydin,Introduction to machine learning,14281,2020, books.google.com,,https://books.google.com/books?hl=en&lr=&id=tZnSDwAAQBAJ&oi=fnd&pg=PR7&dq=machine+learning&ots=F4TP8Wdvwj&sig=cAHXrmSDz6yRHneFGHzmuADQsLA,2856
3," Jordan, TM Mitchell","Machine learning: Trends, perspectives, and prospects",8895,2015, science.org, Science,https://www.science.org/doi/abs/10.1126/science.aaa8415,890
13,Shale,Understanding machine learning: From theory to algorithms,7756,2014, books.google.com,,https://books.google.com/books?hl=en&lr=&id=ttJkAwAAQBAJ&oi=fnd&pg=PR15&dq=machine+learning&ots=PIN4ZDYeP6&sig=mfF3y5Hmq-AWu69FdFpHG8ZtKig,705
12,"Mohri, A Rostamizadeh, A Talwalkar",Foundations of machine learning,6426,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=dWB9DwAAQBAJ&oi=fnd&pg=PR5&dq=machine+learning&ots=AzpPXQy4k3&sig=SgMg-a-AkfljMxRbfAqKFxEPTXo,918
97," Butler, DW Davies, H Cartwright, O Isayev, A Walsh",Machine learning for molecular and materials science,3298,2018, nature.com, Nature,https://www.nature.com/articles/s41586-018-0337-2,471
98, Sarker,"Machine learning: Algorithms, real-world applications and research directions",3006,2021, Springer, SN computer science,https://link.springer.com/article/10.1007/S42979-021-00592-X,752
2,Mahesh,Machine learning algorithms-a review,2853,2020, researchgate.net, International Journal of Science and Research (IJSR) …,https://www.researchgate.net/profile/Batta-Mahesh/publication/344717762_Machine_Learning_Algorithms_-A_Review/links/5f8b2365299bf1b53e2d243a/Machine-Learning-Algorithms-A-Review.pdf?eid=5082902844932096t,571
16," Liakos, P Busato, D Moshou, S Pearson, D Bochtis",Machine learning in agriculture: A review,2460,2018, mdpi.com, Sensors,https://www.mdpi.com/1424-8220/18/8/2674,351
11, Zhou,Machine learning,2411,2021, books.google.com,,https://books.google.com/books?hl=en&lr=&id=ctM-EAAAQBAJ&oi=fnd&pg=PR6&dq=machine+learning&ots=o_KhW2YyZs&sig=uICmzu6wcjNtS2lPiVwlKZ6p4nU,603
9,"Sammut, GI Webb",Encyclopedia of machine learning,2279,2011, books.google.com,,https://books.google.com/books?hl=en&lr=&id=i8hQhp1a62UC&oi=fnd&pg=PA3&dq=machine+learning&ots=92k7AskG7O&sig=6zkZK7ReMeBjwBMfgE3rf7gCY88,163
73," Brunton, BR Noack…",Machine learning for fluid mechanics,2274,2020, annualreviews.org, Annual review of fluid …,https://www.annualreviews.org/content/journals/10.1146/annurev-fluid-010719-060214,455
80,"Mullainathan, J Spiess",Machine learning: an applied econometric approach,2233,2017, aeaweb.org, Journal of Economic Perspectives,https://www.aeaweb.org/articles?id=10.1257%2Fjep.31.2.87&ref=ds-econ,279
5,"Carleo, I Cirac, K Cranmer, L Daudet, M Schuld…",Machine learning and the physical sciences,2168,2019, APS, Reviews of Modern …,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.91.045002,361
67, Dietterich,Machine-learning research,2151,1997, ojs.aaai.org, AI magazine,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/1324,77
70,"Baldi, S Brunak",Bioinformatics: the machine learning approach,2047,2001, books.google.com,,https://books.google.com/books?hl=en&lr=&id=pxSM7R1sdeQC&oi=fnd&pg=PR9&dq=machine+learning&ots=SOFCJ61-Yo&sig=T_kK70s2rFks1Hc9pOEkfo5XAbU,85
74,Flach,Machine learning: the art and science of algorithms that make sense of data,1898,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=Ofp4h_oXsZ4C&oi=fnd&pg=PR15&dq=machine+learning&ots=XMqTlkhvMO&sig=fiBy6CzMfxBGpE1lCaSbwDl1l0c,146
48,"Janiesch, P Zschech, K Heinrich",Machine learning and deep learning,1826,2021, Springer, Electronic Markets,https://link.springer.com/article/10.1007/s12525-021-00475-2,456
28,"Wang, Z Lei, X Zhang, B Zhou, J Peng",Machine learning basics,1811,2016, whdeng.cn, Deep learning,http://whdeng.cn/Teaching/PPT_01_Machine%20learning%20Basics.pdf,201
35,"Li, C Wang, G Cheng, Q Song",International conference on machine learning,1484,2023, par.nsf.gov, Transactions on machine learning …,https://par.nsf.gov/servlets/purl/10418406,742
10,Harrington,Machine learning in action,1360,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=XTozEAAAQBAJ&oi=fnd&pg=PT18&dq=machine+learning&ots=pxZcM2PQcn&sig=SqpaQTEu_zvW2GVOWXFgwRhhGEw,105
4,"El Naqa, MJ Murphy",What is machine learning?,1294,2015, Springer,,https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1,129
65,Ij,Statistics versus machine learning,1276,2018, nature.com, Nat Methods,https://www.nature.com/articles/nmeth.4642.pdf,182
